,restaurant,url,category,distance,star,num_reviews
169,Cafe et Crêpe,https://www.doordash.com/store/758884/?pickup=false,"$$ • Sandwiches, Creperies",0.8 mi • 19 min,4.3,(34)
170,Milton B,https://www.doordash.com/store/714545/?pickup=false,"$$ • Cafe, Breakfast",0.8 mi • 24 min,4.4,(312)
171,Ugo Pizzeria,https://www.doordash.com/store/1877434/?pickup=false,"$$ • Cafe, Alcohol",1.3 mi • 21 min,3.8,
172,Yifang Fruit Tea Chinatown Montreal,https://www.doordash.com/store/2632396/?pickup=false,"$$ • Chinese, Fruit Tea",1.1 mi • 23 min,4.0,
173,Columbus Café,https://www.doordash.com/store/2455514/?pickup=false,"$$ • Cafe, Sandwiches",0.2 mi • 19 min,4.5,(15)
174,Asoo restaurant,https://www.doordash.com/store/1853192/?pickup=false,"$$ • Salads, Dessert",0.2 mi • 19 min,4.0,
175,Chez Maxim Oriental,https://www.doordash.com/store/714324/?pickup=false,"$$ • Chinese, Soup",1.1 mi • 26 min,3.9,(29)
176,Tipsy Cow,https://www.doordash.com/store/692062/?pickup=false,"$ • Burgers, Wraps",0.8 mi • 27 min,4.4,(116)
177,Resto Séoul,https://www.doordash.com/store/695724/?pickup=false,$$ • Korean,1.7 mi • 28 min,4.6,(109)
178,Tampopo,https://www.doordash.com/store/629851/?pickup=false,"$$ • Salads, Soup",1.9 mi • 30 min,4.3,(259)
179,Mr. Puffs,https://www.doordash.com/store/23004245/?pickup=false,"$$ • Bakery, Cafe",800 ft • 17 min,4.7,(122)
180,Kabiga Thé (St Catherine Ouest),https://www.doordash.com/store/1000684/?pickup=false,"$$ • Bubble Tea, Milk Tea",0.3 mi • 21 min,4.8,(125)
181,McGill pizza enr,https://www.doordash.com/store/995491/?pickup=false,"$$ • Italian, Pizza",0.6 mi • 19 min,4.4,(43)
182,Da Giovanni,https://www.doordash.com/store/1521619/?pickup=false,"$$ • Italian, Pizza",1.2 mi • 22 min,4.6,(28)
183,Fisshu,https://www.doordash.com/store/1339295/?pickup=false,"$$ • Japanese, Sushi",0.7 mi • 25 min,4.4,(810+)
184,Station Berlin,https://www.doordash.com/store/720863/?pickup=false,"$ • German, Poutineries",1.1 mi • 29 min,4.4,(132)
185,Second Pizza,https://www.doordash.com/store/1606711/?pickup=false,"$$ • Italian, Pizza",0.8 mi • 21 min,4.4,
186,La Baguette Farcie (Rue Saint-Louis),https://www.doordash.com/store/1169905/?pickup=false,"$$ • Italian, Pizza",0.7 mi • 26 min,4.4,(304)
187,RESTAURANT ARTIGIANI,https://www.doordash.com/store/630218/?pickup=false,"$$ • Italian, Pizza",1.8 mi • 25 min,4.3,(104)
188,Restaurant Copoli 2,https://www.doordash.com/store/680451/?pickup=false,"$$ • Italian, Pizza",1.3 mi • 25 min,3.5,(46)
189,Lakshana's Chettinad Indian Restaurant,https://www.doordash.com/store/1692285/?pickup=false,"$$ • Indian, Curry",0.4 mi • 24 min,4.2,(156)
190,Pizzeria Moretti,https://www.doordash.com/store/1749236/?pickup=false,"$$ • Italian, Pizza",0.6 mi • 21 min,3.6,
191,Maynard,https://www.doordash.com/store/1002894/?pickup=false,"$$ • Cafe, Sandwiches",1.1 mi • 28 min,4.6,(426)
192,Flat Belly Deli Halal,https://www.doordash.com/store/23362147/?pickup=false,"$$ • Hot Dogs, Deli",400 ft • 19 min,4.0,
193,Saint-Houblon Quartier Latin,https://www.doordash.com/store/894282/?pickup=false,"$$ • Poutineries, Dessert",1.4 mi • 29 min,4.2,(38)
