,restaurant,url,category,distance,star,num_reviews
124,Crazy pho you,https://www.doordash.com/store/1046553/?pickup=false,"$$ • Vietnamese, Sandwiches",1.5 mi • 27 min,4.3,(58)
125,Yang's Braised Chicken Rice (Ottawa),https://www.doordash.com/store/1450560/?pickup=false,"$$ • Snacks, Chicken",0.5 mi • 23 min,4.8,
126,Vanier Pizza & Subs,https://www.doordash.com/store/298264/?pickup=false,"$$ • Italian, Pizza",2.1 mi • 27 min,4.3,(68)
127,Kernels Popcorn,https://www.doordash.com/store/1543862/?pickup=false,$$ • Popcorn,0.5 mi • 16 min,5.0,
128,Lois 'N' Frima's Ice Cream,https://www.doordash.com/store/1718858/?pickup=false,"$$ • Ice Cream, Hot Dogs",0.5 mi • 23 min,5.0,
129,First Bite Treats,https://www.doordash.com/store/2363461/?pickup=false,"$$ • Black-Owned, Desserts",0.4 mi • 25 min,5.0,
130,Burger Factory,https://www.doordash.com/store/22978695/?pickup=false,"$$ • American, Burgers",0.6 mi • 24 min,5.0,
131,Rexall,https://www.doordash.com/convenience/store/23156750/?pickup=false,"$$ • Medicine, Convenience",0.4 mi • 28 min,3.6,
132,La Catrina Churros Cafe Bar,https://www.doordash.com/store/1018430/?pickup=false,"$ • Desserts, Cafes",0.6 mi • 25 min,4.6,
133,OG's Chicken Company,https://www.doordash.com/store/942856/?pickup=false,"$$ • Poutineries, Chicken Wings",1.6 mi • 28 min,3.5,(13)
134,Vanier Food Mart,https://www.doordash.com/convenience/store/1368821/?pickup=false,"$$ • Snacks, Grocery",2.2 mi • 26 min,3.3,
135,Jam Rock Kitchen,https://www.doordash.com/store/23084083/?pickup=false,"$$ • Curry, Rice",1.5 mi • 30 min,4.0,(10)
136,Karuna Cafe,https://www.doordash.com/store/567273/?pickup=false,"$$ • Indian, Breakfast",1.1 mi • 29 min,3.9,(13)
137,Big Smoke Burger,https://www.doordash.com/store/1050857/?pickup=false,"$$ • Burgers, Sandwiches",0.5 mi • 23 min,4.4,(28)
138,Milestones Grill + Bar,https://www.doordash.com/store/1005396/?pickup=false,"$$ • Bar and Grill, Alcohol",0.3 mi • 28 min,4.5,(172)
139,Fionn MacCool's,https://www.doordash.com/store/691469/?pickup=false,"$ • Pubs, Burgers",900 ft • 28 min,4.2,(113)
140,Hasty Market,https://www.doordash.com/store/23034534/?pickup=false,"$$ • Breakfast, Sandwiches",1.3 mi • 28 min,3.8,
141,Circle K,https://www.doordash.com/convenience/store/1288506/?pickup=false,"$$ • Grocery, chips",0.4 mi • 23 min,3.6,
142,Subway,https://www.doordash.com/store/991147/?pickup=false,"$$ • Build Your Own, Cookies",0.2 mi • 20 min,4.4,(26)
143,X Market [Parent],https://www.doordash.com/store/2839135/?pickup=false,"$$ • Vegan Friendly, Vegan",0.4 mi • 23 min,,
144,Mealtime,https://www.doordash.com/convenience/store/23356153/?pickup=false,"$$ • Fried Chicken, Chicken",0.6 mi • 23 min,,
145,The best Snack Shop,https://www.doordash.com/store/23270341/?pickup=false,"$$ • Snacks, Sweets",0.6 mi • 23 min,,
146,Musowu Ramen,https://www.doordash.com/store/23267891/?pickup=false,"$$ • Ramen, Japanese",1.1 mi • 26 min,,
147,Holy Chef,https://www.doordash.com/store/23033819/?pickup=false,"$$ • Dessert, Poutineries",1.5 mi • 29 min,,
148,Tea Owners,https://www.doordash.com/store/1274845/?pickup=false,"$$ • Juice & Smoothie, Ice Coffee",0.9 mi • 26 min,2.0,
149,Second Cup,https://www.doordash.com/store/23274581/?pickup=false,"$ • Bakery, Espresso",0.3 mi • 22 min,,
150,Hong Kong Express,https://www.doordash.com/store/298751/?pickup=false,"$$ • Chinese, Seafood",0.7 mi • Closed,4.4,(720+)
151,Chickpeas,https://www.doordash.com/store/785013/?pickup=false,"$$ • Mediterranean, Sandwiches",1.7 mi • Closed,4.7,(890+)
152,Pizza Nerds,https://www.doordash.com/store/955008/?pickup=false,"$$ • Italian, Alcohol",0.9 mi • Closed,4.7,(590+)
153,Subito Sandwich,https://www.doordash.com/store/298578/?pickup=false,"$$ • Italian, Deli",0.8 mi • Closed,4.7,(121)
154,Manhattan's Coffee Co.,https://www.doordash.com/store/2453819/?pickup=false,"$$ • Cafe, Breakfast",0.3 mi • Closed,4.7,(20)
155,Sushi Go,https://www.doordash.com/store/1294244/?pickup=false,"$$ • Japanese, Soup",0.3 mi • Closed,4.6,(10)
156,Quelque Chose Macaron,https://www.doordash.com/store/651946/?pickup=false,"$$ • French Macarons, Creperies",0.4 mi • Closed,4.8,(27)
157,Gyubee Japanese Grill,https://www.doordash.com/store/1212767/?pickup=false,"$$ • Japanese, Pork",0.6 mi • Closed,4.5,(66)
158,The Cupcake Lounge,https://www.doordash.com/store/883663/?pickup=false,"$ • Cupcakes, Bakery",0.5 mi • Closed,4.7,(101)
159,Piccolo Grande Gelateria,https://www.doordash.com/store/1247581/?pickup=false,"$$ • Ice Cream, Gelato",0.5 mi • Closed,4.1,
160,Le Bac a Frites,https://www.doordash.com/store/1142336/?pickup=false,"$$ • Hot Dogs, Sandwiches",0.7 mi • Closed,5.0,
161,DeliKat Cafe,https://www.doordash.com/store/23032921/?pickup=false,"$$ • Cafe, Salads",0.3 mi • Closed,5.0,
162,Fatnecks Halal Burgers,https://www.doordash.com/store/1180545/?pickup=false,"$$ • Halal, Burgers",0.4 mi • Closed,4.8,
163,Happy Goat Coffee Co.,https://www.doordash.com/store/1152125/?pickup=false,"$$ • Latte, Cafe",0.7 mi • Closed,4.6,(34)
164,Maverick's Donut,https://www.doordash.com/store/640754/?pickup=false,"$$ • Donuts, Sweets",0.4 mi • Closed,4.5,(15)
165,Savory & Sweet,https://www.doordash.com/store/1280927/?pickup=false,"$$ • Bakery, Creperies",0.6 mi • Closed,4.7,(90)
166,Dumpling? Dumpling! - Bank St,https://www.doordash.com/store/1174769/?pickup=false,"$$ • Spring Rolls, Vegetarian",0.7 mi • Closed,4.5,(117)
167,Syrian Kitchen,https://www.doordash.com/store/298800/?pickup=false,"$$ • Syrian, Sandwiches",0.9 mi • Closed,4.1,(10)
168,Saigon Pho,https://www.doordash.com/store/567540/?pickup=false,"$$ • Vietnamese, Noodles",0.4 mi • Closed,4.0,(52)
169,Oat Couture Oatmeal Cafe,https://www.doordash.com/store/22930023/?pickup=false,"$$ • Cafe, Coffee & Tea",1.1 mi • Closed,4.7,(13)
170,Madisons New York Grill & Bar,https://www.doordash.com/store/299192/?pickup=false,"$$ • Dessert, Seafood",0.5 mi • Closed,4.1,(61)
171,Le Casablanca,https://www.doordash.com/store/299206/?pickup=false,"$$ • Middle Eastern, Pastries",0.5 mi • Closed,4.7,(23)
172,Govinda's,https://www.doordash.com/store/1640722/?pickup=false,$$ • Soup,1.0 mi • Closed,5.0,(22)
173,Juice Monkey,https://www.doordash.com/store/1480864/?pickup=false,"$$ • Healthy, Smoothies",0.2 mi • Closed,4.7,(21)
174,Wedel - Touch of Europe,https://www.doordash.com/store/2582130/?pickup=false,"$$ • Modern European, Schnitzel",0.5 mi • Closed,4.0,
175,Euro Bistro 360,https://www.doordash.com/store/1246377/?pickup=false,"$$ • Breakfast, Dessert",0.4 mi • Closed,4.5,
176,Casa Nicastro,https://www.doordash.com/store/1253567/?pickup=false,$$ • Sandwiches,1.5 mi • Closed,,
177,Rocky Mtn Chocolate,https://www.doordash.com/store/903975/?pickup=false,"$$ • Chocolate, Dessert",0.5 mi • Closed,4.6,(26)
178,Il Perugino Cafe & Bar,https://www.doordash.com/store/2819018/?pickup=false,"$$ • Italian, Alcohol",0.6 mi • Closed,,
179,The Bier Markt,https://www.doordash.com/store/967488/?pickup=false,"$$ • Pizza, Burgers",500 ft • Closed,4.3,(59)
180,Cora,https://www.doordash.com/store/1306763/?pickup=false,"$$ • Eggs, Crepes",0.6 mi • Closed,4.1,(165)
181,Sprint Snacks,https://www.doordash.com/store/1757794/?pickup=false,"$$ • Salads, Snacks",1.0 mi • Closed,,
182,Presse Cafe,https://www.doordash.com/store/783514/?pickup=false,"$$ • Cafe, Breakfast",700 ft • Closed,4.2,(55)
183,Aztec Tacos,https://www.doordash.com/store/1636217/?pickup=false,"$$ • Mexican, Tacos",1.7 mi • Closed,4.5,(14)
184,Fiazza Fresh Fired,https://www.doordash.com/store/850818/?pickup=false,"$$ • Italian, Pizza",0.5 mi • Closed,4.4,(180)
185,Eggspectation,https://www.doordash.com/store/291869/?pickup=false,"$$ • Canadian, Breakfast",0.3 mi • Closed,4.5,(144)
186,Donerma,https://www.doordash.com/store/567559/?pickup=false,"$$ • Mediterranean, Wraps",0.3 mi • Closed,4.8,(25)
187,Iconic Cafe,https://www.doordash.com/store/839828/?pickup=false,"$$ • Cafe, Coffee & Tea",0.2 mi • Closed,4.8,(17)
188,Bistro Ristoro,https://www.doordash.com/store/641911/?pickup=false,"$$ • Mediterranean, Pizza",0.4 mi • Closed,5.0,
189,Betsi Chicken,https://www.doordash.com/store/1119719/?pickup=false,"$$ • Chicken, Spicy Chicken",0.3 mi • Closed,3.2,(24)
190,Korean Palace,https://www.doordash.com/store/298414/?pickup=false,"$$ • Korean, Soup",0.8 mi • Closed,4.6,(404)
191,The Orient House Shawarma & Grill,https://www.doordash.com/store/787319/?pickup=false,"$$ • Middle Eastern, Sandwiches",0.3 mi • Closed,5.0,
192,Eatz Mediterranean Cuisine,https://www.doordash.com/store/549524/?pickup=false,"$$ • Mediterranean, Sandwiches",0.4 mi • Closed,5.0,
193,Somerset View,https://www.doordash.com/store/821971/?pickup=false,"$$ • Noodles, Pho",1.1 mi • Closed,4.4,
194,Il Vicolo,https://www.doordash.com/store/298616/?pickup=false,"$$ • Italian, Pizza",0.6 mi • Closed,4.5,(10)
195,Rangoon Restaurant,https://www.doordash.com/store/567582/?pickup=false,"$$ • Vegetarian Friendly, Pork",0.8 mi • Closed,3.3,
196,Hushh Burgers,https://www.doordash.com/store/1592464/?pickup=false,"$$ • Burgers, Breakfast",0.8 mi • Closed,4.5,(10)
197,Asian Gourmet Wok & Grill,https://www.doordash.com/store/1354275/?pickup=false,"$ • Vegetarian Friendly, Vegetarian",700 ft • Closed,,
